[55.85652978203758, 49.07784692860958];12946;7651;Зона размещения объектов специального назначения
[55.86178303963219, 49.10277399559108];14128;7216;Зона многоквартиной многоэтажной жилой застройки
[55.86608618515757, 49.1018189712479];14073;6858;Зона многоквартиной многоэтажной жилой застройки
[55.86246899136772, 49.07881136585396];12980;7156;Зона индифидуальной и блокированной жилой застройки
[55.865998539344204, 49.0995899363054];13967;6865;Зона многоквартиной многоэтажной жилой застройки
[55.85822729718067, 49.07552730685004];12831;7509;Зона размещения садоводств
[55.865585428414285, 49.09711508312006];13849;6899;Зона размещения объектов специального назначения
[55.855628466464935, 49.07752878818298];12932;7726;Зона размещения озеленения специального назначения
[55.85712212558779, 49.08225265793244];13155;7602;Зона индифидуальной и блокированной жилой застройки
[55.86106521245665, 49.10160017243221];14073;7276;Зона многоквартиной многоэтажной жилой застройки
[55.85973705879191, 49.077993435983686];12946;7384;Зона индифидуальной и блокированной жилой застройки
[55.862068585504666, 49.0742601100303];12763;7189;Зона индифидуальной и блокированной жилой застройки
[55.86136103051994, 49.08849657241957];13445;7250;Зона многоквартиной многоэтажной жилой застройки
[55.866046355587414, 49.10167529440362];14067;6861;Зона многоквартиной многоэтажной жилой застройки
[55.865340652078295, 49.102377047156196];14102;6920;Зона многоквартиной многоэтажной жилой застройки
[55.865389769074355, 49.0781004419589];12940;6913;Зона индифидуальной и блокированной жилой застройки
[55.86580441263298, 49.101865668201725];14076;6881;Зона многоквартиной многоэтажной жилой застройки
[55.865918081854375, 49.10000950077881];13987;6872;Зона многоквартиной многоэтажной жилой застройки
[55.86597052698013, 49.10242818013923];14103;6868;Зона многоквартиной многоэтажной жилой застройки
[55.865500837485186, 49.10122722886411];14046;6907;Зона многоквартиной многоэтажной жилой застройки
[55.85862725408589, 49.08118310649164];13101;7477;Зона индифидуальной и блокированной жилой застройки
[55.85870902768133, 49.081022612218916];13093;7470;Зона индифидуальной и блокированной жилой застройки
[55.86638484787276, 49.10040410672679];14005;6833;Зона многоквартиной многоэтажной жилой застройки
[55.86452711190275, 49.08917981802288];13472;6986;Зона многоквартиной многоэтажной жилой застройки
[55.86551654215479, 49.09984726663808];13980;6905;Зона многоквартиной многоэтажной жилой застройки
[55.86093731631894, 49.08855096627505];13449;7285;Зона многоквартиной многоэтажной жилой застройки
[55.8586438668389, 49.103017868535765];14146;7478;Зона индифидуальной и блокированной жилой застройки
[55.853814291624325, 49.087657049119855];13421;7878;Зона многоквартирной среднеэтажной жилой застройки
[55.864810472528774, 49.09130697022586];13573;6963;Зона многоквартиной многоэтажной жилой застройки
[55.8577714489098, 49.07552216734813];12832;7547;Зона размещения садоводств
[55.86885495334942, 49.086704936395506];13344;6625;Зона индифидуальной и блокированной жилой застройки
[55.85838645093219, 49.10273408299695];14133;7499;Зона индифидуальной и блокированной жилой застройки
[55.856372916120094, 49.08019547762132];13058;7664;Зона индифидуальной и блокированной жилой застройки
[55.859536913694924, 49.0772502626775];12911;7401;Зона индифидуальной и блокированной жилой застройки
[55.856546202629545, 49.083020117060954];13193;7650;Зона индифидуальной и блокированной жилой застройки
[55.86647810523901, 49.10180430061489];14072;6825;Зона многоквартиной многоэтажной жилой застройки
[55.856862878639575, 49.081929044772885];13140;7624;Зона индифидуальной и блокированной жилой застройки
[55.86558956551962, 49.100587986248385];14015;6899;Зона многоквартиной многоэтажной жилой застройки
[55.86956853271218, 49.09172875847308];13583;6567;Зона многоквартиной многоэтажной жилой застройки
[55.86078208240565, 49.10134537605114];14061;7300;Зона многоквартиной многоэтажной жилой застройки
[55.85965412494322, 49.07774644182505];12934;7391;Зона индифидуальной и блокированной жилой застройки
[55.86597942297058, 49.10037112839874];14004;6867;Зона многоквартиной многоэтажной жилой застройки
[55.864929757164944, 49.102184651203245];14093;6954;Зона многоквартиной многоэтажной жилой застройки
[55.855757470421366, 49.08641657740289];13357;7716;Зона многоквартирной среднеэтажной жилой застройки
[55.863810650988846, 49.076369730850224];12860;7044;Зона индифидуальной и блокированной жилой застройки
[55.859706501374056, 49.07501127973114];12804;7386;Зона индифидуальной и блокированной жилой застройки
[55.85315687808924, 49.082580275181876];13179;7933;Зона многоквартиной многоэтажной жилой застройки
[55.862452760181384, 49.096645412450705];13833;7160;Зона размещения объектов специального назначения
[55.85681919213619, 49.08997614085312];13525;7628;Зона многоквартирной среднеэтажной жилой застройки
[55.85570769488579, 49.089457731058374];13503;7721;Зона многоквартирной среднеэтажной жилой застройки
[55.85656055365915, 49.08228536359475];13158;7649;Зона индифидуальной и блокированной жилой застройки
[55.85774761887216, 49.09152889460548];13598;7551;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86578175406348, 49.099882522440666];13981;6883;Зона многоквартиной многоэтажной жилой застройки
[55.86800090177327, 49.09946716575519];13957;6698;Зона многоквартиной многоэтажной жилой застройки
[55.86685383003723, 49.0778014208189];12923;6791;Зона индифидуальной и блокированной жилой застройки
[55.86710904828815, 49.10018517708145];13993;6772;Зона многоквартиной многоэтажной жилой застройки
[55.8693877713469, 49.08413176677687];13220;6581;Зона индифидуальной и блокированной жилой застройки
[55.8598299578674, 49.077571104395666];12926;7376;Зона индифидуальной и блокированной жилой застройки
[55.86651409737682, 49.10222332309009];14092;6822;Зона многоквартиной многоэтажной жилой застройки
[55.856088171940925, 49.088063117230725];13435;7689;Зона многоквартирной среднеэтажной жилой застройки
[55.85982674782022, 49.07783433356644];12938;7376;Зона индифидуальной и блокированной жилой застройки
[55.86404867582313, 49.08175813585944];13118;7025;Зона индифидуальной и блокированной жилой застройки
[55.86272568382964, 49.079110255551655];12994;7135;Зона индифидуальной и блокированной жилой застройки
[55.86116909761336, 49.095700672586375];13791;7267;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86552666167242, 49.10125210127382];14047;6904;Зона многоквартиной многоэтажной жилой застройки
[55.863377217864695, 49.09196446358343];13607;7082;Зона многоквартиной многоэтажной жилой застройки
[55.858970792670846, 49.093633748909284];13696;7450;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.865577050405406, 49.101409782320374];14055;6900;Зона многоквартиной многоэтажной жилой застройки
[55.85822479174706, 49.09237332853852];13637;7512;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.857510268398805, 49.08966978251934];13509;7571;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.85669782339085, 49.08850733480861];13455;7638;Зона многоквартирной среднеэтажной жилой застройки
[55.86641429144988, 49.10043346673753];14006;6830;Зона многоквартиной многоэтажной жилой застройки
[55.85692586654456, 49.081975550923325];13142;7619;Зона индифидуальной и блокированной жилой застройки
[55.86226493156628, 49.07854943668068];12968;7173;Водные объекты
[55.866401914581786, 49.10130373269607];14048;6832;Зона многоквартиной многоэтажной жилой застройки
[55.865092987849565, 49.10083674270357];14028;6940;Зона многоквартиной многоэтажной жилой застройки
[55.859428512247426, 49.10226983321862];14108;7412;Зона индифидуальной и блокированной жилой застройки
[55.85709298660876, 49.07988775475911];13042;7604;Зона индифидуальной и блокированной жилой застройки
[55.860322212560376, 49.0742468727857];12766;7335;Зона индифидуальной и блокированной жилой застройки
[55.86864593745368, 49.0913203789452];13566;6643;Зона многоквартиной многоэтажной жилой застройки
[55.85289293167909, 49.09467747616135];13758;7956;Зона смешенного размещения жилой застройки и производственно-коммунальных объектов
[55.86588580714923, 49.09956094987436];13966;6874;Зона многоквартиной многоэтажной жилой застройки
[55.86436674231365, 49.10423252544384];14192;7001;Зона многоквартиной многоэтажной жилой застройки
[55.85623393492901, 49.08816075771673];13440;7677;Зона многоквартирной среднеэтажной жилой застройки
[55.86653189180375, 49.10086987811533];14027;6821;Зона многоквартиной многоэтажной жилой застройки
[55.85843917078072, 49.10278986118462];14135;7495;Зона индифидуальной и блокированной жилой застройки
[55.8620149174091, 49.10217255008527];14099;7197;Зона многоквартиной многоэтажной жилой застройки
[55.86597342900888, 49.1000528573082];13989;6867;Зона многоквартиной многоэтажной жилой застройки
[55.86498538157125, 49.08962401045877];13492;6948;Зона многоквартиной многоэтажной жилой застройки
